Temperature (C),Temperature (K),Salinity,Concentration (mg/l),Concentration (micromol/dm3)
27,300.15,35,6.548,204.632673725265
28,301.15,35,6.441,201.288798329938
29,302.15,35,6.337,198.038676450367
30,303.15,35,6.236,194.882308086554
31,304.15,35,6.138,191.819693238497
32,305.15,35,6.042,188.819580734278
33,306.15,35,5.949,185.913221745816
34,307.15,35,5.858,183.069365101192
35,308.15,35,5.769,180.288010800405
36,309.15,35,5.682,177.569158843457
37,310.15,35,5.597,174.912809230346
38,311.15,35,5.514,172.318961961074
39,312.15,35,5.432,169.75636586372
40,313.15,35,5.352,167.256272110204
0,273.15,40,11.051,345.356700876283
1,274.15,40,10.773,336.668875082816
2,275.15,40,10.507,328.356063352376
3,276.15,40,10.252,320.387014513045
4,277.15,40,10.008,312.761728564822
5,278.15,40,9.774,305.448954335788
6,279.15,40,9.55,298.448691825944
7,280.15,40,9.335,291.72968986337
8,281.15,40,9.128,285.260697276148
9,282.15,40,8.93,279.072965236197
10,283.15,40,8.739,273.103991399678
11,284.15,40,8.556,267.385026938511
12,285.15,40,8.379,261.853569508857
13,286.15,40,8.21,256.572121454555
14,287.15,40,8.046,251.446929259848
15,288.15,40,7.889,246.540495268573
16,289.15,40,7.737,241.790317136893
17,290.15,40,7.59,237.196394864808
18,291.15,40,7.449,232.789979624236
19,292.15,40,7.312,228.50856907134
20,293.15,40,7.18,224.383414378039
21,294.15,40,7.052,220.383264372414
22,295.15,40,6.929,216.539370226384
23,296.15,40,6.809,212.78922959611
24,297.15,40,6.693,209.164093653512
25,298.15,40,6.581,205.66396239859
26,299.15,40,6.472,202.257584659425
27,300.15,40,6.366,198.944960436017
28,301.15,40,6.264,195.757340900284
29,302.15,40,6.164,192.632223708389
30,303.15,40,6.067,189.600860032251
31,304.15,40,5.972,186.631998699952
32,305.15,40,5.88,183.756890883408
33,306.15,40,5.79,180.944285410703
34,307.15,40,5.702,178.194182281836
35,308.15,40,5.617,175.537832668725
36,309.15,40,5.533,172.912734227534
37,310.15,40,5.451,170.35013813018
38,311.15,40,5.371,167.850044376664
39,312.15,40,5.293,165.412452966986
40,313.15,40,5.215,162.974861557309
